type,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
arpa_spending_status,"Aqueduct Street, Bank Place, Basin Street, Graves Street, and Race StreetRochester, NY",,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
arpa_spending_status,"1 War Mem Sq, Rochester, NY 14614","1 War Memorial Sq, Rochester, New York, 14614",-77.6114708861616,43.15311301862788,StreetAddress,100.0,T,New York,NY,Monroe County,,Rochester,Central Business District,POINT (-77.61147088599995 43.15311301900005),A,"1 War Memorial Sq, Rochester, NY, 14614, USA",1 War Memorial Sq,,,"1 War Memorial Sq, Rochester, New York, 14614",,,20.0,,1,1,164,1-164,L,,,War Memorial,Sq,,,,,,,,,1 War Memorial Sq,,,,,,14614,2188,USA,United States,ENG,0.0,-77.6114708861616,43.15311301862788,-77.6124708861616,-77.6104708861616,43.15211301862788,43.154113018627875,
arpa_spending_status,"244-254 Allen St, Rochester, NY 14608","254 Allen St, Rochester, New York, 14608",-77.62442918076276,43.156545542288285,StreetAddress,98.97,M,New York,NY,Monroe County,,Rochester,Susan B. Anthony,POINT (-77.62442918099998 43.15654554200006),A,"254 Allen St, Rochester, NY, 14608, USA",254 Allen St,,,"254 Allen St, Rochester, New York, 14608",,,20.0,,254,258,252,252-258,L,,,Allen,St,,,,,,,,,254 Allen St,,,,,,14608,1842,USA,United States,ENG,0.0,-77.62442918076276,43.156545542288285,-77.62542918076277,-77.62342918076276,43.15554554228829,43.15754554228828,244
arpa_spending_status,"69 Andrews Street, Rochester, NY 14614","69 Andrews St, Rochester, New York, 14614",-77.61291299999999,43.15866299999999,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.61291299999993 43.15866300000005),A,"69 Andrews St, Rochester, NY, 14614, USA",69 Andrews St,,,"69 Andrews St, Rochester, New York, 14614",,,20.0,,69,,,,,,,Andrews,St,,,,,,,,,69 Andrews St,,,,,,14614,13ND,USA,United States,ENG,0.0,-77.61291299999999,43.15866299999999,-77.613913,-77.61191299999999,43.15766299999999,43.15966299999999,
arpa_spending_status,"1342 Lakeshore Blvd, Rochester, NY 14617","1342 Lake Shore Blvd, Rochester, New York, 14617",-77.55454943276729,43.23513636663957,StreetAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.55454943299998 43.23513636700005),A,"1342 Lake Shore Blvd, Rochester, NY, 14617, USA",1342 Lake Shore Blvd,,,"1342 Lake Shore Blvd, Rochester, New York, 14617",,,20.0,,1342,1300,1368,1300-1368,R,,,Lake Shore,Blvd,,,,,,,,,1342 Lake Shore Blvd,,,,,,14617,2025,USA,United States,ENG,0.0,-77.55454943276729,43.23513636663957,-77.5555494327673,-77.55354943276728,43.234136366639575,43.23613636663957,
arpa_spending_status,"151 Mount Hope Ave, Rochester, NY 14620","151 Mt Hope Ave, Rochester, New York, 14620",-77.6092905,43.146738,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60929049999999 43.14673800000003),A,"151 Mt Hope Ave, Rochester, NY, 14620, USA",151 Mt Hope Ave,,,"151 Mt Hope Ave, Rochester, New York, 14620",,,20.0,,151,,,,,,,Mt Hope,Ave,,,,,,,,,151 Mt Hope Ave,,,,,,14620,1046,USA,United States,ENG,0.0,-77.6092905,43.146738,-77.6102905,-77.6082905,43.145738,43.147738,
arpa_spending_status,"873 Genesee St, Rochester, New York 14611Rochester, NY","873 Genesee St, Rochester, New York, 14611",-77.636394,43.132788000000005,PointAddress,99.05,M,New York,NY,Monroe County,,Rochester,,POINT (-77.63639399999994 43.13278800000006),A,"873 Genesee St, Rochester, NY, 14611, USA",873 Genesee St,,,"873 Genesee St, Rochester, New York, 14611",,,20.0,,873,,,,,,,Genesee,St,,,,,,,,,873 Genesee St,,,,,,14611,3845,USA,United States,ENG,0.0,-77.636394,43.132788000000005,-77.637394,-77.63539399999999,43.13178800000001,43.133788,NY
arpa_spending_status,"740 N Goodman St., Rochester, NY 14609","740 N Goodman St, Rochester, New York, 14609",-77.579964,43.167663000000005,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.57996399999996 43.16766300000006),A,"740 N Goodman St, Rochester, NY, 14609, USA",740 N Goodman St,,,"740 N Goodman St, Rochester, New York, 14609",,,20.0,,740,,,,,N,,Goodman,St,,,,,,,,,740 N Goodman St,,,,,,14609,4639,USA,United States,ENG,0.0,-77.579964,43.167663000000005,-77.58096400000001,-77.578964,43.16666300000001,43.168663,
arpa_spending_status,"1045 Atlantic Ave, Rochester, NY 14609","1045 Atlantic Ave, Rochester, New York, 14609",-77.55550649999999,43.15642199999999,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.55550649999998 43.15642200000008),A,"1045 Atlantic Ave, Rochester, NY, 14609, USA",1045 Atlantic Ave,,,"1045 Atlantic Ave, Rochester, New York, 14609",,,20.0,,1045,,,,,,,Atlantic,Ave,,,,,,,,,1045 Atlantic Ave,,,,,,14609,7558,USA,United States,ENG,0.0,-77.55550649999999,43.15642199999999,-77.5565065,-77.55450649999999,43.155421999999994,43.15742199999999,
arpa_spending_status,"123 E. Main Street, Rochester, NY 14604","123 E Main St, Rochester, New York, 14604",-77.60916449999999,43.15581,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60916449999996 43.15581000000003),A,"123 E Main St, Rochester, NY, 14604, USA",123 E Main St,,,"123 E Main St, Rochester, New York, 14604",,,20.0,,123,,,,,E,,Main,St,,,,,,,,,123 E Main St,,,,,,14604,1619,USA,United States,ENG,0.0,-77.60916449999999,43.15581,-77.6101645,-77.60816449999999,43.154810000000005,43.15681,
